12:58:52: Товаров в файле: 162 Товаров добавлено: 0 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
12:59:33: Товаров в файле:  Товаров добавлено: 0 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:  Ошибка файла 
13:10:48: Товаров в файле: 162 Товаров добавлено: 0 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
13:12:06: Товаров в файле: 162 Товаров добавлено: 0 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
13:12:25: Товаров в файле: 162 Товаров добавлено: 0 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
16:06:04: Товаров в файле: 162 Товаров добавлено: 0 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
16:47:47: Товаров в файле: 162 Товаров добавлено: 0 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
18:16:27: Товаров в файле: 162 Товаров добавлено: 0 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
18:16:47: Товаров в файле: 162 Товаров добавлено: 162Товаров обновлено: 0 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
18:20:03: Товаров в файле: 162 Товаров добавлено: 162Товаров обновлено: 0 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
18:36:37: Товаров в файле: 162 Товаров добавлено: 162 Товаров обновлено: 0 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
18:44:10: Товаров в файле: 162 Товаров добавлено: 162 Товаров обновлено: 0 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
18:47:13: Товаров в файле: 162 Товаров добавлено: 162 Товаров обновлено: 162 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
18:48:16: Товаров в файле: 162 Товаров добавлено: 162 Товаров обновлено: 0 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
18:48:23: Товаров в файле: 162 Товаров добавлено: 0 Товаров обновлено: 162 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
18:48:59: Товаров в файле: 162 Товаров добавлено: 0 Товаров обновлено: 162 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
18:49:43: Товаров в файле: 162 Товаров добавлено: 0 Товаров обновлено: 162 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
18:51:14: Товаров в файле: 162 Товаров добавлено: 0 Товаров обновлено: 162 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
18:51:38: Товаров в файле: 162 Товаров добавлено: 0 Товаров обновлено: 162 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
18:53:07: Товаров в файле: 162 Товаров добавлено: 0 Товаров обновлено: 162 Товаров деактивировано: 0 Ошибок добавления: 0 Ошибки:   
