IE_XML_ID;IE_NAME;IE_ACTIVE;IE_DETAIL_TEXT_TYPE;IE-CODE;IE_SORT;IE_TAGS;IP_PROP212;IP_PROP745;IP_PROP794;IP_PROP746;IP_PROP747;IP_PROP748;IP_PROP791;IP_PROP749;IP_PROP750;IP_PROP751;IP_PROP793;IP_PROP780;IP_PROP752;IP_PROP753;IP_PROP754;IP_PROP755;IP_PROP792;IP_PROP756;IP_PROP758;IP_PROP759;IP_PROP789;IP_PROP760;IP_PROP761;IP_PROP762;IP_PROP763;IP_PROP783;IP_PROP784;IP_PROP785;IP_PROP764;IP_PROP765;IP_PROP766;IP_PROP790;IP_PROP767;IP_PROP768;IP_PROP769;IP_PROP770;IP_PROP771;IP_PROP772;IP_PROP773;IP_PROP776;IP_PROP777;IP_PROP787;IP_PROP788;IP_PROP778;IP_PROP779;IC_GROUP0;IC_GROUP1
13692;Автопогрузчики Yale GP15AK;Y;text;avtopogruzchiki-yale-gp15ak;500;;474;1840;;1975;137/1600;2060;;;1070/1070;MAZDA FE;;;2275;;;52;;;;;;;30,8;;1500;;;;апр.98;39/25;;;;17.5/18.5;;;;600/635;;Automat1c;18140;;;;2610;Складская техника;Вилочные погрузчики
13909;Автопогрузчик Yale GP18AK;Y;text;avtopogruzchik-Yale-GP18AK;500;;474;1895;;2010;137/1600;2060;;;1135/1070;MAZDA FE;;;2310;;;52;;;;;;;30,8;;1750;;;;апр.98;33/23;;;;18.5/19.0;;;;600/635;;Automat1c;17100;;;;2865;Складская техника;Вилочные погрузчики
13694;Автопогрузчик Yale GP20AK;Y;text;avtopogruzchik-Yale-GP20AK;500;;474;1915;;2040;137/1600;2060;;;1135/1070;MAZDA FE;;;2350;;;52;;;;;;;30,8;;2000;;;;апр.98;30/21;;;;18.0/19.0;;;;595/635;;Automat1c;17170;;;;3050;Складская техника;Вилочные погрузчики
13910;Автопогрузчик Yale GDP15AK;Y;text;avtopogruzchik-Yale-GDP15AK;500;;474;1840;;1975;150/1400;2060;;;1070/1070;Yanmar 4TNE92;;;2275;;;52;;;;;;;32.8;;1500;;;;апр.59;38/25;;;;17.5/18.0;;;;630/670;;Automat1c;18430;;;;2695;Складская техника;Вилочные погрузчики
13696;Автопогрузчик Yale GDP18AK;Y;text;avtopogruzchik-Yale-GDP18AK;500;;474;1895;;2010;150/1400;2060;;;1135/1070;Yanmar 4TNE92;;;2310;;;52;;;;;;;32.8;;1750;;;;апр.59;33/23;;;;18.0/19.0;;;;620/670;;Automat1c;17390;;;;2945;Складская техника;Вилочные погрузчики
13697;Автопогрузчик Yale GDP20AK;Y;text;avtopogruzchik-Yale-GDP20AK;500;;474;1915;;2040;150/1400;2060;;;1135/1070;Yanmar 4TNE92;;;2350;;;52;;;;;;;32.8;;2000;;;;апр.59;30/21;;;;18.0/19.0;;;;610/670;;Automat1c;17460;;;;3135;Складская техника;Вилочные погрузчики
13698;Автопогрузчик Yale GP25RK;Y;text;avtopogruzchik-Yale-GP25RK;500;;474;2070;;2210;137/1600;2130;;;1160/1140;MAZDA FE;;;2600;;;69;;;;;;;33.8;;2500;;;;апр.98;26/24;;;;18.0/18.5;;;;550/595;;Automat1c;18820;;;;3800;Складская техника;Вилочные погрузчики
13699;Автопогрузчик Yale GDP25RK;Y;text;avtopogruzchik-Yale-GDP25RK;500;;474;2070;;2210;150/1400;2130;;;1160/1140;Yanmar 4TNE92;;;2600;;;69;;;;;;;37.4;;2500;;;;апр.59;27/24;;;;17.5/18.5;;;;590/620;;Automat1c;19830;;;;3880;Складская техника;Вилочные погрузчики
13700;Автопогрузчик Yale GP30TK;Y;text;avtopogruzchik-Yale-GP30TK;500;;474;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Складская техника;Вилочные погрузчики
13701;Автопогрузчик Yale GDP30TK;Y;text;avtopogruzchik-Yale-GDP30TK;500;;474;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Складская техника;Вилочные погрузчики
